OrderID,OrderDate,Region,Category,Product,CustomerSegment,SalesChannel,UnitsSold,UnitPrice,Revenue,Cost,Profit,CustomerSatisfaction
ORD-50054,2022-02-23,Europe,Beauty & Care,Mineral Sunscreen,Consumer,Direct Web,5,31.62,158.1,94.48,63.62,5.0
ORD-50055,2022-02-23,North America,Apparel,Trail Shoes,SMB,Organic Search,3,134.12,402.37,257.08,145.29,4.4
ORD-50056,2022-02-24,Europe,Apparel,Performance Jacket,Consumer,Direct Web,3,161.15,483.44,232.76,250.68,4.3
ORD-50057,2022-02-27,North America,Home & Office,Ergonomic Chair,Consumer,Paid Ads,2,332.85,665.69,434.96,230.73,3.2
ORD-50058,2022-02-28,North America,Electronics,Noise-Cancelling Headphones,SMB,Affiliate,2,260.9,521.79,414.68,107.11,4.6
ORD-50059,2022-02-28,North America,Electronics,Pro Laptop,Enterprise,Organic Search,1,1258.02,1258.02,597.12,660.9,4.3
ORD-50060,2022-03-01,Europe,Home & Office,Ergonomic Chair,SMB,Organic Search,1,337.86,337.86,190.73,147.13,2.2
ORD-50061,2022-03-02,Asia-Pacific,Beauty & Care,Mineral Sunscreen,SMB,Paid Ads,1,31.77,31.77,20.82,10.95,4.6
ORD-50062,2022-03-03,Latin America,Electronics,Ultra HD Monitor,SMB,Organic Search,2,433.99,867.97,623.32,244.65,5.0
ORD-50063,2022-03-05,Europe,Electronics,Smart Watch,Consumer,Direct Web,2,286.6,573.2,328.42,244.78,4.4
ORD-50064,2022-03-05,Europe,Apparel,Trail Shoes,Consumer,Organic Search,2,128.31,256.63,180.24,76.39,5.0
ORD-50065,2022-03-05,Europe,Electronics,Smart Watch,Consumer,Paid Ads,1,298.07,298.07,196.55,101.52,3.1
ORD-50066,2022-03-05,North America,Electronics,Ultra HD Monitor,Consumer,Organic Search,2,443.53,887.07,679.07,208.0,4.0
ORD-50067,2022-03-06,North America,Electronics,Noise-Cancelling Headphones,Consumer,Paid Ads,2,243.72,487.43,383.65,103.78,3.6
ORD-50068,2022-03-08,North America,Home & Office,Ergonomic Chair,Consumer,Paid Ads,4,345.28,1381.12,1089.12,292.0,5.0
ORD-50069,2022-03-09,Europe,Apparel,Trail Shoes,Consumer,Affiliate,1,130.1,130.1,64.84,65.26,3.0
ORD-50070,2022-03-10,Asia-Pacific,Home & Office,Standing Desk,Enterprise,Paid Ads,5,627.29,3136.46,1815.75,1320.71,3.4
ORD-50071,2022-03-13,Europe,Beauty & Care,Serum Pack,Consumer,Organic Search,3,82.14,246.41,156.62,89.79,3.8
ORD-50072,2022-03-16,Europe,Electronics,Ultra HD Monitor,Enterprise,Direct Web,1,439.5,439.5,278.16,161.34,2.9
ORD-50073,2022-03-18,Europe,Electronics,Smart Watch,Consumer,Direct Web,1,292.92,292.92,185.64,107.28,3.9
ORD-50074,2022-03-19,Europe,Home & Office,Ergonomic Chair,Enterprise,Direct Web,1,350.55,350.55,237.31,113.24,5.0
ORD-50075,2022-03-19,North America,Apparel,Trail Shoes,Enterprise,Affiliate,3,131.04,393.13,295.51,97.62,4.9
ORD-50076,2022-03-20,Europe,Electronics,Smart Watch,Enterprise,Organic Search,2,309.01,618.03,457.6,160.43,4.1
ORD-50077,2022-03-20,Europe,Home & Office,Desk Lamp,SMB,Paid Ads,1,66.01,66.01,41.03,24.98,4.5
ORD-50078,2022-03-20,Asia-Pacific,Home & Office,Desk Lamp,Consumer,Paid Ads,3,67.93,203.78,130.17,73.61,3.5
ORD-50079,2022-03-24,North America,Beauty & Care,Mineral Sunscreen,Consumer,Direct Web,1,33.03,33.03,15.5,17.53,4.7
ORD-50080,2022-03-25,Asia-Pacific,Apparel,Classic Tee,Consumer,Direct Web,1,33.39,33.39,16.72,16.67,2.2
ORD-50081,2022-03-26,Europe,Beauty & Care,Hydration Cream,SMB,Affiliate,1,43.79,43.79,19.89,23.9,4.8
ORD-50082,2022-03-27,Europe,Electronics,Smart Watch,Enterprise,Direct Web,1,307.16,307.16,183.14,124.02,2.6
ORD-50083,2022-03-27,Europe,Electronics,Smart Watch,Enterprise,Direct Web,1,292.96,292.96,210.73,82.23,4.0
ORD-50084,2022-03-27,Latin America,Electronics,Pro Laptop,Enterprise,Paid Ads,1,1228.37,1228.37,857.2,371.17,3.7
ORD-50085,2022-03-28,North America,Home & Office,Ergonomic Chair,Consumer,Direct Web,8,364.82,2918.55,1365.98,1552.57,2.7
ORD-50086,2022-03-30,North America,Electronics,Smart Watch,Enterprise,Organic Search,2,306.63,613.26,380.66,232.6,4.0
ORD-50087,2022-03-30,North America,Electronics,Noise-Cancelling Headphones,Consumer,Direct Web,1,253.74,253.74,182.07,71.67,4.7
ORD-50088,2022-04-01,North America,Apparel,Merino Sweater,SMB,Organic Search,3,109.93,329.78,229.33,100.45,4.8
ORD-50089,2022-04-02,Latin America,Electronics,Ultra HD Monitor,Enterprise,Direct Web,2,440.67,881.33,,285.12,4.9
ORD-50090,2022-04-03,North America,Home & Office,Ergonomic Chair,Enterprise,Paid Ads,2,334.9,669.79,517.39,152.4,4.7
ORD-50091,2022-04-04,Europe,Electronics,Smart Watch,Enterprise,Paid Ads,1,313.06,313.06,242.13,70.93,3.9
ORD-50092,2022-04-05,Europe,Electronics,Smart Watch,Enterprise,Organic Search,1,299.5,299.5,214.95,84.55,4.8
ORD-50093,2022-04-06,North America,Electronics,Ultra HD Monitor,Enterprise,Organic Search,1,451.62,451.62,351.58,100.04,4.3
ORD-50094,2022-04-09,North America,Beauty & Care,Hydration Cream,Consumer,Affiliate,2,43.21,86.42,42.68,43.74,4.3
ORD-50095,2022-04-09,Asia-Pacific,Electronics,Noise-Cancelling Headphones,Consumer,Paid Ads,2,255.34,510.68,406.34,104.34,3.7
ORD-50096,2022-04-12,North America,Home & Office,Desk Lamp,Consumer,Paid Ads,3,66.07,198.2,155.41,42.79,5.0
ORD-50097,2022-04-14,Europe,Home & Office,Ergonomic Chair,Consumer,Paid Ads,3,348.1,1044.31,709.35,334.96,
ORD-50098,2022-04-14,Asia-Pacific,Electronics,Smart Watch,SMB,Direct Web,1,284.7,284.7,184.75,99.95,5.0
ORD-50099,2022-04-14,Europe,Home & Office,Ergonomic Chair,Consumer,Organic Search,4,333.7,1334.79,651.45,683.34,4.3
ORD-50100,2022-04-17,Europe,Electronics,Ultra HD Monitor,SMB,Organic Search,1,434.69,434.69,270.8,163.89,3.2
ORD-50101,2022-04-17,North America,Electronics,Smart Watch,SMB,Paid Ads,1,304.33,304.33,189.51,114.82,5.0
ORD-50102,2022-04-18,Europe,Home & Office,Coffee Maker,Consumer,Paid Ads,2,173.44,346.88,244.81,102.07,3.3
ORD-50103,2022-04-18,North America,Home & Office,Coffee Maker,Consumer,Direct Web,1,171.01,171.01,118.02,52.99,4.3
ORD-50104,2022-04-18,Latin America,Electronics,Smart Watch,Consumer,Direct Web,1,313.67,313.67,240.06,73.61,5.0
ORD-50105,2022-04-19,North America,Electronics,Ultra HD Monitor,SMB,Paid Ads,1,460.03,460.03,238.17,221.86,4.5
ORD-50106,2022-04-20,North America,Apparel,Merino Sweater,Enterprise,Affiliate,1,105.62,105.62,49.89,55.73,4.2
ORD-50107,2022-04-21,North America,Beauty & Care,Face Cleanser,Consumer,Paid Ads,1,27.04,27.04,14.05,12.99,3.9
ORD-50108,2022-04-23,Latin America,Beauty & Care,Mineral Sunscreen,Consumer,Organic Search,2,31.33,62.67,43.95,18.72,4.7
ORD-50109,2022-04-23,North America,Home & Office,Ergonomic Chair,SMB,Paid Ads,2,362.25,724.49,358.73,365.76,3.8
ORD-50110,2022-04-23,Asia-Pacific,Apparel,Classic Tee,SMB,Organic Search,3,34.27,102.81,72.96,29.85,4.6
ORD-50111,2022-04-25,Latin America,Electronics,Pro Laptop,Enterprise,Paid Ads,2,1157.3,2314.6,1365.69,948.91,2.9
ORD-50112,2022-04-25,Asia-Pacific,Beauty & Care,Serum Pack,Enterprise,Organic Search,2,83.32,166.64,88.82,77.82,4.2
ORD-50113,2022-04-27,North America,Home & Office,Desk Lamp,Enterprise,Direct Web,3,64.35,193.06,99.7,93.36,5.0
ORD-50114,2022-04-28,Latin America,Home & Office,Ergonomic Chair,SMB,Direct Web,1,350.82,350.82,165.46,185.36,5.0
ORD-50115,2022-04-28,Asia-Pacific,Beauty & Care,Hydration Cream,SMB,Paid Ads,2,46.98,93.96,63.12,30.84,5.0
ORD-50116,2022-04-28,North America,Apparel,Classic Tee,Consumer,Organic Search,1,36.22,36.22,24.09,12.13,3.5
ORD-50117,2022-04-29,Asia-Pacific,Home & Office,Coffee Maker,SMB,Organic Search,2,173.44,346.87,259.74,87.13,4.1
ORD-50118,2022-04-29,Asia-Pacific,Electronics,Smart Watch,SMB,Direct Web,2,284.22,568.43,301.94,266.49,3.9
ORD-50119,2022-05-04,North America,Home & Office,Standing Desk,SMB,Direct Web,3,577.29,1731.88,1230.81,501.07,3.9
ORD-50120,2022-05-06,North America,Electronics,Noise-Cancelling Headphones,Consumer,Organic Search,1,249.73,249.73,170.28,79.45,4.9
ORD-50121,2022-05-07,Asia-Pacific,Beauty & Care,Mineral Sunscreen,Enterprise,Paid Ads,2,31.98,63.96,42.98,20.98,3.2
ORD-50122,2022-05-07,Asia-Pacific,Apparel,Performance Jacket,SMB,Direct Web,1,163.97,163.97,90.76,73.21,2.9
ORD-50123,2022-05-09,North America,Electronics,Ultra HD Monitor,Enterprise,Affiliate,1,454.42,454.42,295.19,159.23,2.9
ORD-50124,2022-05-10,Europe,Electronics,Smart Watch,Enterprise,Affiliate,1,298.84,298.84,209.65,89.19,5.0
ORD-50125,2022-05-10,North America,Home & Office,Desk Lamp,Enterprise,Organic Search,1,65.6,65.6,49.97,15.63,3.8
ORD-50126,2022-05-10,North America,Beauty & Care,Hydration Cream,SMB,Direct Web,3,43.43,130.3,63.65,66.65,4.4
ORD-50127,2022-05-12,Europe,Electronics,Ultra HD Monitor,SMB,Organic Search,3,453.21,1359.64,1084.22,275.42,3.1
ORD-50128,2022-05-15,North America,Electronics,Smart Watch,Consumer,Paid Ads,1,299.63,299.63,164.08,135.55,4.4
ORD-50129,2022-05-15,Europe,Home & Office,Desk Lamp,Enterprise,Organic Search,3,63.57,190.72,135.4,55.32,5.0
ORD-50130,2022-05-15,North America,Apparel,Performance Jacket,SMB,Direct Web,3,162.07,486.21,357.42,128.79,4.0
ORD-50131,2022-05-15,North America,Beauty & Care,Hydration Cream,SMB,Organic Search,2,43.09,86.18,59.64,26.54,5.0
ORD-50132,2022-05-17,North America,Home & Office,Standing Desk,SMB,Organic Search,1,621.33,621.33,452.06,169.27,4.4
ORD-50133,2022-05-18,Latin America,Home & Office,Desk Lamp,Consumer,Organic Search,1,62.31,62.31,31.2,31.11,4.3
ORD-50134,2022-05-20,North America,Electronics,Smart Watch,Consumer,Organic Search,1,290.77,290.77,171.37,119.4,5.0
ORD-50135,2022-05-20,Europe,Home & Office,Desk Lamp,Consumer,Direct Web,3,65.49,196.47,149.74,46.73,3.9
ORD-50136,2022-05-21,Europe,Electronics,Noise-Cancelling Headphones,Consumer,Direct Web,2,254.31,508.62,387.18,121.44,5.0
ORD-50137,2022-05-21,North America,Home & Office,Ergonomic Chair,Consumer,Affiliate,2,360.16,720.32,557.86,162.46,
ORD-50138,2022-05-22,Asia-Pacific,Home & Office,Ergonomic Chair,SMB,Direct Web,2,353.0,705.99,360.9,345.09,3.1
ORD-50139,2022-05-25,North America,Electronics,Smart Watch,Consumer,Paid Ads,4,304.23,1216.91,666.32,550.59,4.5
ORD-50140,2022-05-25,Europe,Home & Office,Coffee Maker,Consumer,Affiliate,1,175.57,175.57,84.73,90.84,3.4
ORD-50141,2022-05-26,North America,Apparel,Trail Shoes,SMB,Direct Web,2,125.71,251.42,153.21,98.21,4.0
ORD-50142,2022-05-26,Asia-Pacific,Electronics,Noise-Cancelling Headphones,Enterprise,Direct Web,1,241.19,241.19,131.58,109.61,4.5
ORD-50143,2022-05-29,Asia-Pacific,Beauty & Care,Face Cleanser,Consumer,Direct Web,1,27.94,27.94,21.07,6.87,4.8
ORD-50144,2022-05-30,Europe,Electronics,Smart Watch,SMB,Organic Search,1,301.56,301.56,239.07,62.49,4.0
ORD-50145,2022-06-02,North America,Beauty & Care,Serum Pack,Enterprise,Direct Web,2,88.59,177.18,121.87,55.31,4.1
ORD-50146,2022-06-03,Latin America,Home & Office,Ergonomic Chair,Enterprise,Paid Ads,3,348.67,1046.0,703.29,342.71,4.0
ORD-50147,2022-06-03,Europe,Home & Office,Ergonomic Chair,Consumer,Organic Search,2,355.53,711.07,469.64,241.43,5.0
ORD-50148,2022-06-05,North America,Electronics,Ultra HD Monitor,SMB,Organic Search,2,459.82,919.64,455.14,464.5,4.4
ORD-50149,2022-06-06,Asia-Pacific,Electronics,Smart Watch,Consumer,Organic Search,4,297.21,1188.84,890.51,298.33,4.1
ORD-50150,2022-06-06,North America,Home & Office,Standing Desk,Enterprise,Organic Search,1,585.87,585.87,299.66,286.21,5.0
ORD-50151,2022-06-07,Asia-Pacific,Electronics,Ultra HD Monitor,Consumer,Organic Search,5,457.53,2287.67,1678.34,609.33,3.9
ORD-50152,2022-06-07,North America,Home & Office,Ergonomic Chair,Consumer,Direct Web,1,357.82,357.82,192.09,165.73,
ORD-50153,2022-06-08,Asia-Pacific,Home & Office,Coffee Maker,Enterprise,Direct Web,1,174.35,174.35,79.37,94.98,3.6
ORD-50154,2022-06-10,North America,Home & Office,Coffee Maker,SMB,Affiliate,4,177.24,708.98,320.27,388.71,4.5
ORD-50155,2022-06-10,Europe,Home & Office,Coffee Maker,Enterprise,Direct Web,3,188.61,565.83,405.49,160.34,3.7
ORD-50156,2022-06-11,Latin America,Electronics,Pro Laptop,Consumer,Affiliate,3,1182.07,3546.22,2777.92,768.3,3.1
ORD-50157,2022-06-14,Latin America,Apparel,Performance Jacket,Enterprise,Paid Ads,1,152.81,152.81,92.74,60.07,3.9
ORD-50158,2022-06-15,North America,Electronics,Noise-Cancelling Headphones,SMB,Organic Search,1,252.69,252.69,129.0,123.69,
ORD-50159,2022-06-15,Latin America,Home & Office,Desk Lamp,Consumer,Direct Web,1,64.89,64.89,29.96,34.93,3.7
ORD-50160,2022-06-22,Europe,Electronics,Smart Watch,SMB,Direct Web,1,284.19,284.19,,100.28,5.0
ORD-50161,2022-06-23,Latin America,Electronics,Pro Laptop,Consumer,Paid Ads,1,1183.51,1183.51,811.64,371.87,4.5
ORD-50162,2022-06-25,Europe,Home & Office,Ergonomic Chair,SMB,Paid Ads,3,344.48,1033.44,585.06,448.38,5.0
ORD-50163,2022-06-25,North America,Home & Office,Ergonomic Chair,SMB,Paid Ads,1,344.34,344.34,186.15,158.19,3.6
ORD-50164,2022-06-27,Europe,Home & Office,Ergonomic Chair,Consumer,Organic Search,1,357.88,357.88,172.61,185.27,4.0
ORD-50165,2022-06-27,Europe,Home & Office,Ergonomic Chair,Consumer,Direct Web,2,333.28,666.57,490.89,175.68,4.4
ORD-50166,2022-06-30,Europe,Home & Office,Standing Desk,SMB,Affiliate,2,627.41,1254.82,568.62,686.2,4.4
ORD-50167,2022-07-01,Europe,Apparel,Performance Jacket,Consumer,Direct Web,2,158.11,316.23,204.85,111.38,5.0
ORD-50168,2022-07-01,North America,Home & Office,Desk Lamp,Consumer,Paid Ads,1,63.43,63.43,33.7,29.73,3.8
ORD-50169,2022-07-04,Asia-Pacific,Home & Office,Standing Desk,SMB,Paid Ads,3,596.5,1789.5,1320.9,468.6,4.4
ORD-50170,2022-07-04,Asia-Pacific,Electronics,Smart Watch,Consumer,Paid Ads,2,287.6,575.2,413.29,161.91,3.6
ORD-50171,2022-07-05,Asia-Pacific,Electronics,Smart Watch,Consumer,Organic Search,4,295.95,1183.82,712.46,471.36,4.9
ORD-50172,2022-07-05,North America,Apparel,Performance Jacket,Enterprise,Paid Ads,3,162.72,488.17,275.22,212.95,5.0
ORD-50173,2022-07-06,Europe,Beauty & Care,Face Cleanser,SMB,Affiliate,2,28.54,57.08,37.23,19.85,3.7
ORD-50174,2022-07-08,North America,Home & Office,Coffee Maker,SMB,Affiliate,3,176.83,530.5,265.12,265.38,4.7
ORD-50175,2022-07-09,North America,Home & Office,Desk Lamp,Consumer,Direct Web,1,62.49,62.49,37.09,25.4,4.3
ORD-50176,2022-07-12,Asia-Pacific,Electronics,Smart Watch,SMB,Paid Ads,3,306.43,919.3,,227.87,3.3
ORD-50177,2022-07-14,Asia-Pacific,Home & Office,Coffee Maker,Consumer,Paid Ads,1,188.9,188.9,110.25,78.65,5.0
ORD-50178,2022-07-20,Asia-Pacific,Electronics,Pro Laptop,Consumer,Direct Web,3,1143.11,3429.34,1709.55,1719.79,4.1
ORD-50179,2022-07-21,Europe,Home & Office,Desk Lamp,Consumer,Paid Ads,1,67.6,67.6,51.68,15.92,3.8
ORD-50180,2022-07-22,Latin America,Beauty & Care,Face Cleanser,SMB,Paid Ads,1,29.35,29.35,15.43,13.92,5.0
ORD-50181,2022-07-25,Europe,Electronics,Noise-Cancelling Headphones,SMB,Direct Web,1,240.68,240.68,125.33,115.35,4.0
ORD-50182,2022-07-25,North America,Beauty & Care,Face Cleanser,Enterprise,Direct Web,2,28.61,57.22,31.71,25.51,4.3
ORD-50183,2022-07-26,North America,Home & Office,Standing Desk,Enterprise,Direct Web,2,610.68,1221.35,658.99,562.36,4.8
ORD-50184,2022-07-28,North America,Electronics,Pro Laptop,SMB,Direct Web,1,1224.77,1224.77,592.33,632.44,3.8
ORD-50185,2022-07-28,North America,Home & Office,Ergonomic Chair,Consumer,Affiliate,2,345.8,691.61,510.73,180.88,5.0
ORD-50186,2022-07-28,North America,Electronics,Ultra HD Monitor,Enterprise,Organic Search,3,455.24,1365.72,768.31,597.41,3.4
ORD-50187,2022-07-28,Latin America,Electronics,Smart Watch,Enterprise,Organic Search,2,300.66,601.32,440.69,160.63,5.0
ORD-50188,2022-07-29,Asia-Pacific,Apparel,Classic Tee,Consumer,Organic Search,8,34.4,275.22,205.22,70.0,4.6
ORD-50189,2022-07-29,Latin America,Apparel,Classic Tee,Consumer,Affiliate,2,35.35,70.71,34.2,36.51,4.4
ORD-50190,2022-07-29,Europe,Apparel,Trail Shoes,Consumer,Paid Ads,2,135.89,271.77,180.44,91.33,5.0
ORD-50191,2022-07-30,Europe,Home & Office,Standing Desk,Enterprise,Paid Ads,1,610.36,610.36,357.57,252.79,3.6
ORD-50192,2022-07-30,North America,Apparel,Merino Sweater,SMB,Affiliate,3,113.96,341.88,193.93,147.95,4.0
ORD-50193,2022-08-01,North America,Electronics,Pro Laptop,SMB,Paid Ads,3,1223.7,3671.09,1690.48,1980.61,4.8
ORD-50194,2022-08-02,Europe,Home & Office,Standing Desk,SMB,Affiliate,3,621.19,1863.56,1262.43,601.13,
ORD-50195,2022-08-02,Asia-Pacific,Electronics,Pro Laptop,Enterprise,Direct Web,1,1160.4,1160.4,858.34,302.06,4.5
ORD-50196,2022-08-03,North America,Electronics,Pro Laptop,Consumer,Direct Web,8,1177.96,9423.71,5280.99,4142.72,4.4
ORD-50197,2022-08-03,Asia-Pacific,Home & Office,Desk Lamp,Enterprise,Direct Web,3,64.86,194.58,118.6,75.98,4.6
ORD-50198,2022-08-04,North America,Apparel,Trail Shoes,SMB,Direct Web,4,135.54,542.18,246.62,295.56,3.8
ORD-50199,2022-08-05,Europe,Electronics,Ultra HD Monitor,SMB,Direct Web,2,463.09,926.18,708.26,217.92,3.5
ORD-50200,2022-08-07,Europe,Apparel,Merino Sweater,SMB,Direct Web,5,106.14,530.71,275.59,255.12,4.5
ORD-50201,2022-08-09,North America,Beauty & Care,Serum Pack,Enterprise,Paid Ads,1,84.2,84.2,64.27,19.93,4.8
ORD-50202,2022-08-10,Europe,Home & Office,Ergonomic Chair,SMB,Affiliate,3,354.83,1064.5,722.15,342.35,3.4
ORD-50203,2022-08-10,North America,Electronics,Ultra HD Monitor,Enterprise,Affiliate,3,451.59,1354.76,864.12,490.64,4.5
ORD-50204,2022-08-11,Asia-Pacific,Beauty & Care,Mineral Sunscreen,SMB,Organic Search,1,31.7,31.7,24.28,7.42,4.2
ORD-50205,2022-08-13,Europe,Electronics,Ultra HD Monitor,Enterprise,Affiliate,1,472.06,472.06,308.8,163.26,4.8
ORD-50206,2022-08-14,North America,Home & Office,Coffee Maker,Consumer,Paid Ads,2,171.7,343.4,234.67,108.73,4.1
