PropertyID,SaleDate,Neighborhood,SqftLiving,Bedrooms,Bathrooms,YearBuilt,Garage,GarageCars,LotSizeAcres,SalePrice,column asaihn
PROP-20050,2022-09-23,West End,1299,1,1.0,1971,Yes,3.0,0.14,369300.0,
PROP-20051,2022-01-28,Suburbs,1759,2,1.1,1979,Yes,1.0,,419900.0,
PROP-20052,2022-03-11,Riverside,2214,4,2.8,1985,Yes,1.0,1.31,548800.0,
PROP-20053,2022-05-19,Riverside,1479,2,1.3,1996,Yes,3.0,0.33,393300.0,
PROP-20054,2023-05-04,West End,3104,4,2.6,1991,Yes,3.0,0.35,783900.0,
PROP-20055,2022-11-04,Downtown,2628,4,2.8,1973,Yes,3.0,0.33,657500.0,
PROP-20056,2023-11-01,Downtown,1705,2,1.0,1963,No,0.0,0.52,384600.0,
PROP-20057,2022-09-15,Suburbs,4244,6,4.5,2005,Yes,3.0,0.13,1036000.0,
PROP-20058,2023-11-13,North Hills,4039,6,5.0,1991,No,0.0,0.15,1028900.0,
PROP-20059,2023-01-09,Suburbs,2653,5,3.8,2009,Yes,2.0,0.22,753000.0,
PROP-20060,2022-03-27,Downtown,2703,4,3.0,1975,Yes,3.0,0.13,715300.0,
PROP-20061,2022-07-07,West End,2981,4,2.9,2012,Yes,3.0,0.21,718200.0,
PROP-20062,2022-12-27,Downtown,1812,3,2.6,2009,Yes,2.0,0.16,446400.0,
PROP-20063,2023-08-15,West End,2226,4,3.0,2022,Yes,,0.22,645600.0,
PROP-20064,2023-02-08,West End,1706,3,2.4,1966,No,0.0,0.57,409900.0,
PROP-20065,2023-01-04,North Hills,4257,6,4.3,1997,No,0.0,1.21,988400.0,
PROP-20066,2023-04-15,Downtown,3933,6,5.0,2005,No,0.0,0.2,1024900.0,
PROP-20067,2022-01-02,Downtown,2799,3,2.3,1999,No,0.0,0.4,662000.0,
PROP-20068,2023-03-17,North Hills,3120,4,2.7,2004,Yes,2.0,0.52,727000.0,
PROP-20069,2022-07-01,West End,2185,3,2.6,2009,No,0.0,0.76,533200.0,
PROP-20070,2023-07-23,North Hills,988,1,1.1,2023,Yes,1.0,0.12,297000.0,
PROP-20071,2022-12-30,West End,3893,6,4.7,1987,Yes,1.0,0.52,978100.0,
PROP-20072,2023-07-22,North Hills,1327,2,1.3,1971,Yes,1.0,0.3,300600.0,
PROP-20073,2023-02-15,Riverside,3987,6,4.2,2002,Yes,2.0,0.38,1009400.0,
PROP-20074,2022-08-21,Downtown,1449,2,1.5,1966,Yes,,0.84,393600.0,
PROP-20075,2022-10-03,West End,2637,3,1.9,1998,No,0.0,0.6,628700.0,
PROP-20076,2022-06-14,North Hills,1819,4,3.1,2021,No,0.0,,479600.0,
PROP-20077,2022-01-02,West End,1001,2,1.3,1996,Yes,3.0,0.19,291800.0,
PROP-20078,2022-10-16,Suburbs,3269,5,4.0,1974,Yes,2.0,1.72,778600.0,
PROP-20079,2023-09-14,Riverside,750,2,1.3,1988,No,0.0,0.19,173700.0,
PROP-20080,2023-08-05,Riverside,883,3,2.7,1980,Yes,1.0,0.45,294900.0,
PROP-20081,2023-05-08,Suburbs,3648,5,3.7,1961,No,0.0,0.4,865500.0,
PROP-20082,2022-07-16,West End,2472,3,1.4,2014,Yes,1.0,0.32,540900.0,
PROP-20083,2023-12-21,West End,2235,4,2.8,1969,Yes,1.0,0.13,565300.0,
PROP-20084,2022-08-10,Riverside,880,1,1.0,2014,Yes,1.0,0.28,229000.0,
PROP-20085,2023-09-12,Riverside,4308,6,4.5,1985,Yes,1.0,0.28,1039200.0,
PROP-20086,2023-09-25,Suburbs,2688,5,3.6,2000,Yes,3.0,0.2,729100.0,
PROP-20087,2022-06-22,West End,2646,4,3.6,2002,Yes,2.0,0.26,671000.0,
PROP-20088,2023-05-27,West End,4245,6,4.9,2015,Yes,3.0,0.41,1021800.0,
PROP-20089,2023-09-04,North Hills,2857,5,3.4,2000,Yes,2.0,0.16,740700.0,
PROP-20090,2023-02-05,West End,3934,6,4.3,1961,Yes,1.0,0.66,973800.0,
PROP-20091,2022-09-06,Downtown,3643,6,4.7,2005,Yes,1.0,0.13,911100.0,
PROP-20092,2022-12-15,West End,2949,6,3.8,2002,Yes,2.0,0.49,746700.0,
PROP-20093,2022-04-10,Riverside,2541,4,3.4,1984,No,0.0,0.37,633000.0,
PROP-20094,2023-09-24,West End,4016,5,3.7,1990,No,0.0,0.11,926700.0,
PROP-20095,2022-03-06,Suburbs,1406,2,1.7,2002,Yes,2.0,0.37,355800.0,
PROP-20096,2022-08-23,Downtown,871,1,1.0,2002,Yes,1.0,0.6,235300.0,
PROP-20097,2022-06-11,Downtown,2341,3,2.6,1977,Yes,2.0,0.35,561900.0,
PROP-20098,2022-12-22,Downtown,4120,6,4.3,2021,Yes,2.0,,1058400.0,
PROP-20099,2022-10-23,North Hills,2887,6,4.7,1987,Yes,1.0,0.17,792300.0,
PROP-20100,2023-04-03,West End,2696,4,3.2,1960,No,0.0,0.48,670600.0,
PROP-20101,2023-10-20,Riverside,2567,3,2.0,1994,Yes,1.0,0.1,614200.0,
PROP-20102,2022-01-04,Downtown,2335,4,3.2,1966,Yes,1.0,0.48,575300.0,
PROP-20103,2022-01-31,Downtown,3225,4,2.2,2005,Yes,2.0,0.76,775900.0,
PROP-20104,2022-02-26,West End,3087,5,4.4,1982,Yes,1.0,0.99,746700.0,
PROP-20105,2022-07-16,Downtown,3353,5,3.8,1986,Yes,1.0,0.34,828600.0,
PROP-20106,2023-12-06,Suburbs,2746,4,3.1,2000,No,0.0,1.12,617900.0,
PROP-20107,2023-04-23,North Hills,1983,3,2.3,1960,Yes,3.0,0.21,548700.0,
PROP-20108,2022-08-21,Downtown,2520,4,3.2,1970,No,0.0,0.28,643100.0,
PROP-20109,2022-05-16,Downtown,4452,6,5.0,2020,No,0.0,0.5,1102800.0,
PROP-20110,2023-11-19,Riverside,2054,4,3.3,1969,Yes,3.0,0.5,550800.0,
PROP-20111,2022-08-01,West End,1341,2,1.9,1970,Yes,2.0,,379200.0,
PROP-20112,2023-06-08,Suburbs,2808,5,3.7,1994,Yes,2.0,0.27,737900.0,
PROP-20113,2023-04-16,Downtown,1783,3,2.9,1978,Yes,1.0,0.27,403400.0,
PROP-20114,2022-03-25,Suburbs,3397,5,3.9,2002,Yes,1.0,1.39,874200.0,
PROP-20115,2023-03-23,North Hills,1018,1,1.0,1973,Yes,1.0,0.31,318100.0,
PROP-20116,2023-09-02,North Hills,3575,6,4.4,2005,Yes,3.0,0.24,930200.0,
PROP-20117,2023-03-30,North Hills,2984,4,2.3,2005,Yes,3.0,,801000.0,
PROP-20118,2023-10-01,North Hills,3152,6,4.8,2012,No,0.0,0.41,792600.0,
PROP-20119,2023-08-26,Riverside,4427,6,4.8,2001,Yes,1.0,1.7,1047700.0,
PROP-20120,2023-06-17,Suburbs,1663,2,1.0,1987,Yes,2.0,1.22,447900.0,
PROP-20121,2022-08-20,Riverside,1656,2,2.0,1996,Yes,2.0,0.25,444000.0,
PROP-20122,2023-03-02,North Hills,2483,4,3.0,1978,No,0.0,0.16,597700.0,
PROP-20123,2023-04-04,Downtown,4367,6,4.7,1992,Yes,1.0,0.49,1062900.0,
PROP-20124,2022-02-20,North Hills,954,2,1.7,1965,No,0.0,0.5,278200.0,
PROP-20125,2023-04-08,West End,4368,6,4.6,1975,No,0.0,0.38,1021200.0,
PROP-20126,2023-12-20,North Hills,3333,5,3.8,2002,Yes,2.0,0.25,836600.0,
PROP-20127,2022-06-24,North Hills,2890,4,2.5,1967,Yes,3.0,0.28,646000.0,
PROP-20128,2022-09-04,West End,2630,4,2.9,2015,Yes,,0.81,653500.0,
PROP-20129,2022-10-28,North Hills,2964,4,3.4,2001,Yes,3.0,0.52,677000.0,
PROP-20130,2022-12-13,North Hills,1047,3,1.7,1991,Yes,3.0,0.39,331200.0,
PROP-20131,2023-06-23,North Hills,2324,4,3.2,1979,Yes,2.0,0.53,636500.0,
PROP-20132,2022-08-05,Suburbs,1098,3,2.5,1981,Yes,2.0,0.23,258300.0,
PROP-20133,2023-09-02,West End,2385,4,2.6,1981,Yes,2.0,0.59,642900.0,
PROP-20134,2022-09-18,West End,1411,2,1.9,2009,Yes,2.0,0.28,391300.0,
PROP-20135,2022-04-10,West End,4188,6,4.8,2003,Yes,2.0,0.24,1031200.0,
PROP-20136,2023-09-12,North Hills,2857,4,3.4,2011,Yes,1.0,0.25,758300.0,
PROP-20137,2022-06-06,Riverside,3904,6,4.7,2004,No,0.0,0.43,980900.0,
PROP-20138,2022-01-16,Riverside,1739,3,2.3,1967,Yes,3.0,0.71,446700.0,
PROP-20139,2022-12-21,Riverside,2589,3,2.1,1983,Yes,2.0,0.87,679000.0,
PROP-20140,2022-08-22,Suburbs,3407,5,4.4,1963,No,0.0,,835900.0,
PROP-20141,2023-12-20,Suburbs,1145,2,1.8,2008,Yes,1.0,1.06,351300.0,
PROP-20142,2022-03-27,North Hills,2953,6,4.7,1967,Yes,3.0,0.37,797200.0,
PROP-20143,2024-01-01,West End,2770,4,3.1,1999,Yes,3.0,0.76,732600.0,
PROP-20144,2022-12-02,Suburbs,4360,6,4.3,1985,Yes,3.0,0.65,993700.0,
PROP-20145,2022-04-18,Suburbs,2809,5,3.4,2008,Yes,1.0,0.86,794600.0,
PROP-20146,2022-12-21,Downtown,2482,4,2.5,1971,Yes,2.0,0.81,575600.0,
PROP-20147,2023-10-04,North Hills,2832,5,3.5,2009,Yes,3.0,,786600.0,
PROP-20148,2023-04-14,Riverside,2192,3,2.3,2005,Yes,2.0,0.82,521100.0,
PROP-20149,2023-05-30,Downtown,3682,6,4.8,2019,No,0.0,0.12,947500.0,
PROP-20150,2023-05-09,North Hills,811,1,1.0,1985,No,0.0,0.28,208200.0,
PROP-20151,2022-08-25,Downtown,1303,3,2.1,2015,Yes,3.0,0.15,403300.0,
PROP-20152,2022-07-10,West End,4287,6,4.2,2005,No,0.0,0.15,1010300.0,
PROP-20153,2022-10-17,Riverside,3450,5,4.0,2013,Yes,3.0,0.38,886400.0,
PROP-20154,2022-02-26,North Hills,976,1,1.0,1982,No,0.0,0.33,229500.0,
PROP-20155,2022-07-15,Downtown,3124,4,2.7,1990,Yes,3.0,,761500.0,
PROP-20156,2023-03-08,Suburbs,3748,6,4.5,1986,Yes,3.0,0.17,945400.0,
PROP-20157,2022-09-28,Downtown,3658,6,4.6,2013,Yes,2.0,0.11,923200.0,
PROP-20158,2023-04-17,West End,2018,2,1.5,1987,Yes,,0.51,498200.0,
PROP-20159,2022-05-18,West End,2735,4,2.9,2021,Yes,2.0,0.25,622600.0,
PROP-20160,2022-08-25,Suburbs,4404,5,3.5,1981,Yes,,0.43,1028100.0,
PROP-20161,2023-08-10,Downtown,2437,4,3.1,2001,No,0.0,1.23,594000.0,
PROP-20162,2022-05-19,West End,3236,4,2.8,1966,Yes,2.0,0.3,712700.0,
PROP-20163,2022-12-21,Suburbs,2432,3,2.4,1995,Yes,3.0,0.19,699300.0,
PROP-20164,2023-06-11,North Hills,4213,6,4.5,2008,Yes,3.0,0.36,1082300.0,
PROP-20165,2022-07-19,North Hills,2238,3,2.1,1968,Yes,2.0,0.93,590800.0,
PROP-20166,2023-01-26,Downtown,4426,6,3.6,1971,No,,0.42,976500.0,
PROP-20167,2022-12-09,Downtown,2795,5,4.6,1976,Yes,,0.15,796500.0,
PROP-20168,2023-09-30,Downtown,4315,6,4.4,2003,Yes,1.0,0.26,1059500.0,
PROP-20169,2023-11-02,Riverside,3508,5,3.4,1987,Yes,3.0,0.87,807000.0,
PROP-20170,2022-06-15,Downtown,1293,2,1.2,2009,Yes,2.0,0.1,309900.0,
PROP-20171,2022-12-30,Suburbs,2026,3,2.0,1963,Yes,2.0,0.61,552400.0,
PROP-20172,2023-10-26,Suburbs,3037,5,3.9,2020,Yes,2.0,0.27,779700.0,
PROP-20173,2022-08-11,Downtown,966,2,1.8,1975,Yes,1.0,0.26,271600.0,
PROP-20174,2022-10-30,North Hills,2778,4,3.0,1998,Yes,1.0,1.89,763900.0,
PROP-20175,2023-06-10,Downtown,2331,4,3.3,1960,No,0.0,,568500.0,
PROP-20176,2023-04-03,North Hills,3137,4,3.3,2004,Yes,2.0,0.43,806300.0,
PROP-20177,2022-04-09,Suburbs,2213,3,2.3,2013,Yes,2.0,0.17,632900.0,
PROP-20178,2022-09-23,Suburbs,1441,3,2.1,2017,No,0.0,0.34,398900.0,
PROP-20179,2022-01-08,Riverside,3799,5,3.6,2023,Yes,3.0,0.42,868900.0,
PROP-20180,2022-04-20,Downtown,3977,6,4.4,1999,No,0.0,0.25,999800.0,
PROP-20181,2023-12-12,Downtown,3788,6,4.6,1980,Yes,2.0,0.51,941100.0,
PROP-20182,2023-08-10,North Hills,3045,4,3.3,2004,Yes,1.0,0.92,788000.0,
PROP-20183,2023-03-17,North Hills,1609,2,2.0,1960,Yes,2.0,0.24,441900.0,
PROP-20184,2022-01-20,West End,2583,4,2.5,1966,Yes,1.0,0.32,645400.0,
PROP-20185,2022-07-13,Downtown,4238,6,4.6,1983,Yes,3.0,0.7,988700.0,
PROP-20186,2023-08-29,North Hills,3855,6,4.3,1996,No,0.0,0.51,990300.0,
PROP-20187,2023-07-07,North Hills,1357,2,1.8,1982,No,0.0,0.4,309900.0,
PROP-20188,2023-01-03,Suburbs,1397,2,1.2,2017,Yes,2.0,0.34,377700.0,
PROP-20189,2023-11-29,Riverside,2242,3,2.6,2012,Yes,3.0,0.15,598000.0,
PROP-20190,2022-06-23,Riverside,2121,3,2.7,1997,Yes,1.0,0.15,574300.0,
PROP-20191,2023-10-31,West End,1299,2,1.0,1960,No,0.0,0.46,288100.0,
PROP-20192,2023-10-29,North Hills,3733,6,5.0,1965,Yes,3.0,0.11,914800.0,
PROP-20193,2022-02-13,Suburbs,1978,4,3.0,1963,No,0.0,0.2,494300.0,
PROP-20194,2022-09-11,Suburbs,1212,1,1.0,2015,Yes,2.0,0.64,307300.0,
PROP-20195,2022-11-20,Riverside,3480,5,3.7,2001,Yes,1.0,0.71,4200000.0,
PROP-20196,2022-11-03,North Hills,928,3,2.2,2017,Yes,2.0,0.74,319400.0,
PROP-20197,2023-02-11,Riverside,3250,5,3.8,1984,No,0.0,0.33,787000.0,
PROP-20198,2022-11-16,Downtown,3324,4,3.2,1992,Yes,2.0,0.17,833200.0,
PROP-20199,2023-03-30,Downtown,4016,6,4.5,1964,Yes,1.0,0.99,1044900.0,
PROP-20200,2022-12-24,Riverside,4163,6,4.4,2022,Yes,3.0,0.27,1065000.0,
PROP-20201,2022-05-04,West End,2847,5,3.6,1965,Yes,1.0,0.4,672000.0,
PROP-20202,2022-12-27,North Hills,3641,6,4.8,2008,Yes,1.0,0.43,962300.0,
PROP-20203,2023-01-26,West End,3835,6,4.4,1988,Yes,,0.36,968900.0,
PROP-20204,2022-12-06,Suburbs,3072,5,3.6,1985,Yes,2.0,0.26,830200.0,
PROP-20205,2023-05-09,West End,1068,2,1.4,1981,Yes,3.0,0.38,354600.0,
PROP-20206,2022-06-17,Suburbs,3664,6,3.9,2007,Yes,1.0,0.27,907200.0,
PROP-20207,2023-01-20,Downtown,4405,6,5.0,1965,No,0.0,0.18,984800.0,
PROP-20208,2023-07-14,Downtown,1076,2,1.4,1964,Yes,2.0,0.37,303000.0,
PROP-20209,2023-08-13,Riverside,2604,4,3.0,1981,No,0.0,0.26,613500.0,
PROP-20210,2023-08-22,North Hills,3873,6,4.3,1998,Yes,3.0,0.21,964700.0,
PROP-20211,2022-02-04,North Hills,3675,6,4.4,1972,Yes,2.0,0.19,879200.0,
PROP-20212,2022-01-24,Suburbs,2385,3,2.3,1967,Yes,2.0,0.31,547400.0,
PROP-20213,2023-11-01,Downtown,3169,5,3.3,2004,Yes,3.0,2.21,821200.0,
PROP-20214,2022-09-08,Downtown,885,1,1.0,1990,Yes,1.0,0.32,243000.0,
PROP-20215,2023-05-28,West End,3054,5,3.5,1993,Yes,3.0,0.43,809700.0,
PROP-20216,2023-11-17,Riverside,2225,3,2.5,1969,No,0.0,0.15,525500.0,
PROP-20217,2022-05-13,Suburbs,3219,6,4.9,1986,Yes,3.0,0.15,856400.0,
PROP-20218,2022-07-15,West End,2915,4,3.1,1976,Yes,3.0,0.16,728400.0,
PROP-20219,2022-05-24,Suburbs,935,1,1.0,2013,Yes,2.0,0.15,294300.0,
PROP-20220,2023-06-25,Riverside,2995,5,3.7,1974,No,0.0,,718400.0,
PROP-20221,2023-06-15,North Hills,1625,2,2.2,1964,Yes,2.0,,467800.0,
PROP-20222,2023-01-25,Suburbs,1223,2,1.9,2022,Yes,3.0,0.69,375500.0,
PROP-20223,2022-03-20,North Hills,3915,6,4.9,1964,Yes,1.0,0.3,992200.0,
PROP-20224,2022-01-17,Suburbs,4246,5,3.5,1981,Yes,2.0,0.2,992400.0,
PROP-20225,2022-06-27,Riverside,3725,6,4.5,2023,Yes,3.0,,960400.0,
PROP-20226,2022-12-24,Downtown,914,2,1.5,1981,Yes,1.0,0.14,295300.0,
PROP-20227,2023-12-07,Downtown,3797,6,4.1,2020,Yes,1.0,0.22,969600.0,
PROP-20228,2023-05-17,North Hills,2251,4,3.1,2015,No,0.0,0.24,617600.0,
PROP-20229,2023-03-04,Riverside,2362,3,2.8,1992,Yes,2.0,0.73,588100.0,
PROP-20230,2022-04-26,North Hills,1015,1,1.0,1983,Yes,2.0,1.79,309000.0,
PROP-20231,2022-10-05,Riverside,1120,2,1.4,1963,No,0.0,0.52,322800.0,
PROP-20232,2022-01-08,Suburbs,3691,6,4.8,1986,Yes,3.0,0.54,940500.0,
PROP-20233,2023-12-15,Downtown,3088,4,3.6,1975,Yes,2.0,0.27,766000.0,
PROP-20234,2023-02-12,West End,3255,5,3.5,1985,Yes,1.0,0.14,765900.0,
PROP-20235,2022-03-08,Suburbs,1859,2,1.5,1995,Yes,3.0,0.16,445400.0,
PROP-20236,2023-12-20,Riverside,1283,2,1.0,1973,Yes,2.0,0.37,365800.0,
PROP-20237,2023-01-01,Downtown,829,1,1.0,2001,Yes,3.0,0.13,280800.0,
PROP-20238,2023-10-05,West End,3341,4,3.4,1978,Yes,1.0,0.41,852000.0,
PROP-20239,2023-03-02,North Hills,1616,3,2.6,1980,Yes,2.0,0.36,433800.0,
PROP-20240,2022-09-05,West End,1610,2,1.9,1970,No,0.0,0.83,377400.0,
PROP-20241,2022-10-29,Downtown,3027,5,4.1,1979,Yes,3.0,0.1,794500.0,
PROP-20242,2022-04-03,Riverside,2098,4,3.3,1985,Yes,2.0,0.59,580200.0,
PROP-20243,2022-08-10,Riverside,1219,3,2.1,1997,Yes,3.0,0.42,376600.0,
PROP-20244,2022-06-30,West End,4346,6,4.0,1986,Yes,3.0,0.13,1028800.0,
PROP-20245,2023-05-18,Suburbs,3118,5,3.9,1972,Yes,1.0,1.48,771100.0,
PROP-20246,2023-04-04,Riverside,1948,4,2.9,1987,No,0.0,0.11,497800.0,
PROP-20247,2022-07-27,North Hills,4386,6,5.0,2004,Yes,3.0,0.15,1179300.0,
PROP-20248,2022-07-23,West End,3349,4,2.4,1997,Yes,2.0,0.4,812000.0,
PROP-20249,2023-12-18,Downtown,2325,4,3.1,1967,Yes,1.0,0.16,611100.0,
PROP-20250,2023-04-07,West End,2739,5,3.7,1978,Yes,1.0,,687700.0,
PROP-20251,2022-05-15,West End,1149,1,1.0,1984,Yes,2.0,0.3,320100.0,
PROP-20252,2023-11-23,North Hills,2556,4,2.6,1964,No,0.0,0.3,622100.0,
PROP-20253,2023-06-19,North Hills,3470,6,4.8,2002,Yes,2.0,1.59,844700.0,
PROP-20254,2022-09-09,North Hills,3867,6,4.4,1978,No,0.0,0.11,940800.0,
PROP-20255,2022-01-14,Riverside,1750,2,1.5,2022,Yes,3.0,0.46,479600.0,
PROP-20256,2022-09-10,Suburbs,955,1,1.0,2007,Yes,1.0,0.43,240300.0,
PROP-20257,2023-04-02,Downtown,2747,5,4.1,1994,Yes,,0.63,747700.0,
PROP-20258,2022-06-30,West End,3370,5,3.8,2003,Yes,3.0,0.15,886200.0,
PROP-20259,2022-08-04,West End,4073,6,4.6,2023,Yes,2.0,0.47,1019700.0,
PROP-20260,2022-08-23,West End,3667,6,4.3,1967,Yes,2.0,0.13,923700.0,
PROP-20261,2022-04-17,Suburbs,3746,6,4.5,2014,Yes,2.0,0.54,893300.0,
PROP-20262,2022-01-20,Downtown,4435,6,4.4,1975,No,0.0,0.23,1011300.0,
PROP-20263,2023-03-03,Suburbs,1901,3,2.9,1995,Yes,3.0,0.21,559400.0,
PROP-20264,2022-12-23,North Hills,3602,6,5.0,2018,Yes,3.0,0.18,895900.0,
PROP-20265,2022-08-19,Riverside,1520,2,1.9,1982,Yes,2.0,0.23,454900.0,
PROP-20266,2023-02-15,Riverside,2225,4,3.0,1981,Yes,1.0,,629900.0,
PROP-20267,2022-12-22,West End,3024,4,3.0,1979,No,0.0,0.12,752300.0,
PROP-20268,2023-10-25,West End,3212,5,3.6,1999,Yes,2.0,0.3,819500.0,
PROP-20269,2023-07-01,Riverside,954,2,1.4,2007,Yes,,0.84,290700.0,
PROP-20270,2022-04-08,Riverside,3687,6,4.7,1969,Yes,1.0,0.27,918100.0,
PROP-20271,2023-10-15,West End,1840,3,2.2,2015,Yes,2.0,0.15,512300.0,
PROP-20272,2022-04-05,Riverside,1376,2,1.5,1974,No,0.0,0.63,415000.0,
PROP-20273,2022-06-16,Suburbs,935,1,1.2,1992,Yes,2.0,0.97,260400.0,
PROP-20274,2023-04-15,Downtown,3078,3,2.1,1962,Yes,3.0,0.8,749400.0,
PROP-20275,2023-11-16,West End,868,1,1.0,2007,Yes,1.0,0.44,273200.0,
PROP-20276,2023-11-04,Riverside,2487,3,1.6,1988,Yes,1.0,0.17,620800.0,
PROP-20277,2023-01-19,Suburbs,3212,4,3.3,2022,No,0.0,0.17,832500.0,
PROP-20278,2022-04-05,Riverside,1243,2,2.0,2016,Yes,2.0,0.28,316400.0,
PROP-20279,2023-06-28,Downtown,1765,3,2.7,1997,No,0.0,0.21,461400.0,
PROP-20280,2022-01-21,North Hills,3521,6,4.6,1961,Yes,3.0,0.26,897500.0,
PROP-20281,2023-11-20,Downtown,2148,3,2.1,2010,Yes,1.0,0.2,593200.0,
PROP-20282,2023-10-20,Riverside,4032,6,5.0,1982,Yes,3.0,0.47,974600.0,
PROP-20283,2023-07-09,Downtown,1617,3,2.2,2001,Yes,2.0,0.17,386800.0,
PROP-20284,2022-07-19,Riverside,2270,4,3.1,2002,No,0.0,0.42,587200.0,
PROP-20285,2022-04-01,West End,1389,2,1.1,2003,No,,0.22,391500.0,
PROP-20286,2022-08-30,West End,3390,5,3.5,2003,Yes,2.0,0.35,908900.0,
PROP-20287,2022-07-12,West End,1076,2,1.5,2008,Yes,3.0,0.48,330500.0,
