CustomerID,SignupDate,Gender,SeniorCitizen,Partner,TenureMonths,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-1039,2023-02-01,Male,0,Yes,11,Month-to-month,No,Credit card,96.84,1076.63,Yes
CUST-1040,2023-03-03,Male,0,No,10,One year,Yes,Credit card,74.48,728.12,No
CUST-1041,2022-10-02,Female,0,No,15,Month-to-month,Yes,Mailed check,38.74,577.2,No
CUST-1042,2022-08-03,Male,0,No,17,Month-to-month,No,Electronic check,71.07,1258.26,Yes
CUST-1043,2020-09-02,Female,0,No,40,One year,Yes,Mailed check,36.28,1422.92,No
CUST-1044,2022-07-03,Male,0,No,18,Month-to-month,No,Bank transfer,95.82,1773.2,Yes
CUST-1045,2019-06-04,Female,1,No,55,One year,No,Mailed check,94.72,5199.94,No
CUST-1046,2021-12-02,Male,0,Yes,25,Two year,Yes,Mailed check,,2037.26,No
CUST-1047,2019-02-03,Female,0,Yes,59,Two year,Yes,Credit card,75.13,4390.47,No
CUST-1048,2022-03-04,Female,0,No,22,Two year,No,Mailed check,114.31,,Yes
CUST-1049,2021-07-03,Male,0,No,30,Month-to-month,No,Credit card,64.99,1927.6,No
CUST-1050,2020-05-04,Prefer not to say,0,No,44,Month-to-month,Yes,Mailed check,31.91,1361.58,No
CUST-1051,2021-05-04,Female,0,Yes,32,One year,No,Electronic check,77.59,2489.44,No
CUST-1052,2019-10-04,Female,0,Yes,51,Month-to-month,Yes,Mailed check,123.41,6324.19,Yes
CUST-1053,2020-03-04,Female,0,Yes,46,One year,Yes,Bank transfer,36.59,1657.79,No
CUST-1054,2022-04-03,Female,0,,21,One year,No,Electronic check,54.88,1107.51,No
CUST-1055,2021-05-04,Female,0,Yes,32,One year,No,Electronic check,76.66,2450.36,No
CUST-1056,2020-10-03,Male,0,Yes,39,Month-to-month,Yes,Credit card,63.49,2473.49,No
CUST-1057,2023-01-02,Male,0,Yes,12,Month-to-month,No,Electronic check,37.5,466.45,Yes
CUST-1058,2020-02-03,Male,0,Yes,47,Month-to-month,Yes,Bank transfer,96.41,4559.76,Yes
CUST-1059,2022-07-03,Male,0,No,18,Month-to-month,Yes,Bank transfer,125.0,2248.22,Yes
CUST-1060,2022-04-03,Male,0,Yes,21,Two year,Yes,Mailed check,70.49,1535.96,No
CUST-1061,2022-12-02,Male,1,No,13,Month-to-month,No,Bank transfer,39.69,522.7,Yes
CUST-1062,2022-04-03,Female,0,Yes,21,Month-to-month,Yes,Electronic check,21.63,443.84,Yes
CUST-1063,2023-05-03,Male,0,Yes,8,Month-to-month,Yes,Bank transfer,72.22,529.41,Yes
CUST-1064,2020-03-04,Male,0,Yes,46,One year,Yes,Mailed check,95.91,4403.98,No
CUST-1065,2023-06-03,Female,0,Yes,7,One year,No,Bank transfer,78.3,538.01,Yes
CUST-1066,2022-02-01,Male,0,Yes,23,Month-to-month,No,Electronic check,64.93,1522.2,No
CUST-1067,2022-03-04,Female,0,Yes,22,Month-to-month,No,Bank transfer,48.5,,Yes
CUST-1068,2022-03-04,Male,0,No,22,Month-to-month,Yes,Electronic check,34.42,721.86,Yes
CUST-1069,2021-08-03,Prefer not to say,0,Yes,29,Month-to-month,No,Electronic check,88.37,2567.9,Yes
CUST-1070,2022-12-02,Female,0,No,13,One year,Yes,Electronic check,90.59,1197.82,Yes
CUST-1071,2023-11-02,Male,1,No,2,One year,No,Electronic check,,89.28,No
CUST-1072,2021-08-03,Male,0,No,29,Month-to-month,No,Credit card,109.52,3202.71,Yes
CUST-1073,2019-09-04,Female,0,,52,Month-to-month,Yes,Electronic check,81.07,4238.47,No
CUST-1074,2021-10-03,Female,0,Yes,27,Two year,No,Credit card,104.19,2814.93,No
CUST-1075,2019-11-03,Female,1,Yes,50,Month-to-month,Yes,Credit card,27.42,1382.65,No
CUST-1076,2022-02-01,Female,0,Yes,23,One year,Yes,Bank transfer,26.76,652.97,No
CUST-1077,2020-05-04,Male,0,No,44,Month-to-month,Yes,Electronic check,60.83,2636.54,No
CUST-1078,2022-03-04,Male,1,Yes,22,Month-to-month,Yes,Mailed check,79.08,1729.28,Yes
CUST-1079,2020-06-03,Male,1,Yes,43,Month-to-month,Yes,Bank transfer,115.3,4934.72,Yes
CUST-1080,2020-12-03,Female,0,No,37,Month-to-month,No,Mailed check,84.77,3147.86,No
CUST-1081,2018-12-04,Female,0,No,61,Two year,Yes,Electronic check,58.2,3587.11,No
CUST-1082,2019-05-05,Male,0,No,56,Month-to-month,No,Bank transfer,36.26,2012.65,No
CUST-1083,2023-10-02,Male,0,Yes,3,Month-to-month,Yes,Credit card,99.44,226.61,Yes
CUST-1084,2018-10-04,Male,1,Yes,63,Month-to-month,Yes,Bank transfer,37.99,2381.0,No
CUST-1085,2022-06-03,Male,0,Yes,19,Month-to-month,No,Electronic check,,2128.8,Yes
CUST-1086,2022-02-01,Female,0,Yes,23,Month-to-month,Yes,Bank transfer,57.04,1328.05,Yes
CUST-1087,2021-08-03,Female,0,Yes,29,Month-to-month,Yes,Electronic check,109.54,3189.51,Yes
CUST-1088,2021-07-03,Female,0,,30,One year,No,Electronic check,84.01,2511.9,No
CUST-1089,2020-10-03,Male,0,Yes,39,Month-to-month,Yes,Credit card,61.16,2346.87,No
CUST-1090,2021-12-02,Male,0,Yes,25,Month-to-month,Yes,Electronic check,50.46,1276.96,Yes
CUST-1091,2023-05-03,Female,0,Yes,8,Two year,Yes,Electronic check,,418.57,No
CUST-1092,2019-03-05,Female,0,No,58,Month-to-month,No,Electronic check,76.99,,Yes
CUST-1093,2022-09-02,Female,0,No,16,Two year,No,Credit card,67.16,,No
CUST-1094,2023-12-02,Female,0,,1,Month-to-month,No,Bank transfer,48.37,48.37,Yes
CUST-1095,2023-08-02,Female,0,Yes,5,Two year,No,Bank transfer,60.36,283.46,No
CUST-1096,2023-10-02,Female,0,Yes,3,One year,Yes,Bank transfer,67.2,198.81,No
CUST-1097,2018-08-04,Male,0,Yes,65,Two year,Yes,Electronic check,18.0,1162.81,No
CUST-1098,2023-09-02,Male,0,No,4,Two year,No,Mailed check,77.83,,No
CUST-1099,2018-09-04,Male,0,No,64,Month-to-month,Yes,Mailed check,37.57,2410.07,No
CUST-1100,2023-03-03,Male,0,Yes,10,Two year,Yes,Electronic check,32.71,305.15,No
CUST-1101,2022-04-03,Female,0,No,21,Month-to-month,Yes,Mailed check,18.0,434.71,Yes
CUST-1102,2020-03-04,Male,0,Yes,46,Month-to-month,Yes,Credit card,18.0,829.48,No
CUST-1103,2021-10-03,Female,0,No,27,Month-to-month,No,Electronic check,27.05,753.42,No
CUST-1104,2018-07-05,Female,0,No,66,Month-to-month,Yes,Electronic check,45.15,2961.65,No
CUST-1105,2020-08-03,Male,1,No,41,Month-to-month,Yes,Electronic check,119.69,4918.18,Yes
CUST-1106,2022-12-02,Male,0,No,13,One year,Yes,Electronic check,50.28,662.97,No
CUST-1107,2023-04-03,Female,0,No,9,Month-to-month,No,Credit card,69.98,573.13,Yes
CUST-1108,2021-01-02,Male,0,Yes,36,One year,Yes,Mailed check,76.21,2804.02,No
CUST-1109,2019-03-05,Male,0,No,58,Two year,Yes,Mailed check,68.67,4021.58,No
CUST-1110,2019-07-05,Male,0,Yes,54,Month-to-month,No,Bank transfer,62.83,,No
CUST-1111,2023-01-02,Male,0,No,12,Month-to-month,No,Electronic check,31.53,345.29,Yes
CUST-1112,2022-11-02,Female,0,No,14,Month-to-month,Yes,Mailed check,105.63,1489.25,Yes
CUST-1113,2021-03-04,Female,0,No,34,Month-to-month,Yes,Mailed check,115.6,3933.0,Yes
CUST-1114,2019-08-04,Female,0,Yes,53,Month-to-month,Yes,Bank transfer,,964.67,No
CUST-1115,2022-05-03,Female,1,No,20,Month-to-month,Yes,Credit card,36.33,732.35,Yes
CUST-1116,2022-09-02,Female,1,No,16,Month-to-month,Yes,Bank transfer,57.17,929.91,Yes
CUST-1117,2018-03-05,Male,1,No,70,Two year,Yes,Mailed check,37.99,2702.72,No
CUST-1118,2019-05-05,Female,0,Yes,56,One year,Yes,Credit card,79.17,4450.56,No
CUST-1119,2019-03-05,Female,0,Yes,58,Month-to-month,Yes,Electronic check,44.61,2555.89,No
CUST-1120,2023-09-02,Female,1,Yes,4,One year,No,Electronic check,125.0,,Yes
CUST-1121,2023-09-02,Female,0,Yes,4,Month-to-month,No,Electronic check,,442.58,Yes
CUST-1122,2022-05-03,Male,0,No,20,Month-to-month,No,Electronic check,70.95,1513.56,Yes
CUST-1123,2023-03-03,Male,0,Yes,10,One year,Yes,Mailed check,93.76,903.9,Yes
CUST-1124,2022-01-02,Male,0,No,24,Month-to-month,Yes,Bank transfer,95.97,2310.57,Yes
CUST-1125,2021-11-02,Male,1,Yes,26,Month-to-month,No,Credit card,49.21,1217.0,Yes
CUST-1126,2020-12-03,Female,0,Yes,37,Two year,Yes,Mailed check,42.15,1576.14,No
CUST-1127,2019-07-05,Female,0,No,54,Two year,Yes,Mailed check,67.19,3611.81,No
CUST-1128,2022-04-03,Male,0,No,21,One year,Yes,Electronic check,89.13,1929.43,No
CUST-1129,2020-11-02,Female,0,Yes,38,One year,No,Electronic check,68.89,2594.58,No
CUST-1130,2020-03-04,Male,0,No,46,One year,No,Bank transfer,20.84,907.96,No
CUST-1131,2023-09-02,Male,0,No,4,Month-to-month,Yes,Mailed check,42.52,155.94,Yes
CUST-1132,2019-01-03,Male,0,Yes,60,Month-to-month,Yes,Credit card,62.93,3716.54,No
CUST-1133,2019-04-05,Male,0,No,57,Month-to-month,No,Electronic check,62.88,3606.69,No
CUST-1134,2020-04-03,Female,0,No,45,Month-to-month,Yes,Electronic check,120.23,5348.4,Yes
CUST-1135,2022-05-03,Male,1,No,20,Month-to-month,No,Mailed check,26.19,524.65,Yes
CUST-1136,2022-08-03,Female,0,Yes,17,Month-to-month,No,Electronic check,79.16,1283.39,Yes
CUST-1137,2018-02-03,Female,0,No,71,Two year,No,Electronic check,106.7,7566.09,No
CUST-1138,2023-09-02,Male,0,Yes,4,Two year,Yes,Bank transfer,125.0,549.3,Yes
CUST-1139,2022-11-02,Prefer not to say,0,Yes,14,One year,Yes,Electronic check,53.68,762.34,No
CUST-1140,2023-10-02,Prefer not to say,0,Yes,3,Month-to-month,Yes,Bank transfer,78.76,210.38,Yes
CUST-1141,2019-03-05,Male,0,Yes,58,Two year,No,Electronic check,,4694.16,No
CUST-1142,2019-06-04,Female,0,No,55,Month-to-month,No,Electronic check,70.47,3876.39,Yes
CUST-1143,2023-09-02,Male,0,No,4,One year,Yes,Mailed check,62.23,263.1,No
CUST-1144,2022-01-02,Male,0,No,24,Month-to-month,Yes,Credit card,77.21,1812.03,Yes
CUST-1145,2021-03-04,Male,1,Yes,34,One year,No,Mailed check,18.0,629.78,No
CUST-1146,2021-07-03,Female,0,Yes,30,Month-to-month,No,Bank transfer,84.1,2441.87,Yes
CUST-1147,2022-06-03,Female,0,Yes,19,Two year,No,Electronic check,68.53,1283.17,No
CUST-1148,2021-06-03,Male,1,No,31,Two year,Yes,Bank transfer,58.77,1807.22,No
CUST-1149,2019-01-03,Male,0,Yes,60,Month-to-month,Yes,Electronic check,122.31,7357.6,No
CUST-1150,2019-01-03,Female,0,No,60,Month-to-month,No,Bank transfer,46.1,2766.68,No
CUST-1151,2022-06-03,Male,1,No,19,Two year,No,Bank transfer,53.71,978.32,No
CUST-1152,2019-12-04,Male,0,Yes,49,Month-to-month,Yes,Credit card,120.76,5887.69,Yes
CUST-1153,2018-10-04,Female,0,No,63,Two year,Yes,Mailed check,41.7,2633.06,No
CUST-1154,2022-03-04,Prefer not to say,0,Yes,22,One year,Yes,Electronic check,49.6,1088.83,No
CUST-1155,2022-01-02,Male,0,No,24,Month-to-month,Yes,Electronic check,60.88,1443.75,Yes
CUST-1156,2021-07-03,Female,0,No,30,Month-to-month,Yes,Credit card,88.54,2641.77,Yes
CUST-1157,2019-03-05,Female,0,Yes,58,Month-to-month,No,Mailed check,70.82,4128.45,No
CUST-1158,2021-06-03,Male,1,Yes,31,One year,Yes,Bank transfer,28.81,877.58,No
CUST-1159,2018-09-04,Female,0,No,64,Month-to-month,No,Electronic check,,3203.76,No
CUST-1160,2022-06-03,Male,0,No,19,Month-to-month,Yes,Electronic check,47.99,976.91,Yes
CUST-1161,2020-01-03,Female,0,Yes,48,Month-to-month,No,Electronic check,62.84,2973.61,Yes
CUST-1162,2020-04-03,Female,0,No,45,One year,No,Credit card,76.92,3405.84,No
CUST-1163,2019-06-04,Female,0,No,55,Two year,Yes,Bank transfer,76.71,,No
CUST-1164,2019-06-04,Male,0,No,55,Two year,Yes,Credit card,18.0,969.64,No
CUST-1165,2022-07-03,Female,0,Yes,18,Month-to-month,Yes,Electronic check,94.79,1696.67,Yes
CUST-1166,2018-10-04,Male,0,No,63,Two year,Yes,Bank transfer,72.07,4516.98,No
CUST-1167,2020-02-03,Male,1,No,47,One year,No,Bank transfer,103.77,4869.4,No
CUST-1168,2019-04-05,Male,0,Yes,57,One year,No,Electronic check,77.44,4462.04,No
CUST-1169,2020-04-03,Female,1,Yes,45,Two year,Yes,Credit card,95.84,,No
CUST-1170,2021-04-03,Female,0,No,33,Month-to-month,Yes,Credit card,78.06,2601.85,No
CUST-1171,2022-08-03,Male,1,Yes,17,Month-to-month,Yes,Credit card,102.69,,Yes
CUST-1172,2018-03-05,Female,0,No,70,Two year,No,Bank transfer,79.62,5538.87,No
CUST-1173,2023-09-02,Male,0,Yes,4,Month-to-month,Yes,Electronic check,62.26,163.87,Yes
CUST-1174,2022-05-03,Female,0,Yes,20,Two year,Yes,Electronic check,125.0,2475.72,No
CUST-1175,2020-02-03,Male,0,No,47,Two year,No,Credit card,,4253.53,No
CUST-1176,2022-10-02,Female,0,Yes,15,Month-to-month,No,Electronic check,81.06,,Yes
CUST-1177,2018-03-05,Male,0,Yes,70,Two year,Yes,Bank transfer,29.26,2041.55,No
CUST-1178,2020-02-03,Female,0,Yes,47,Month-to-month,No,Bank transfer,28.93,1359.04,No
CUST-1179,2023-04-03,Male,0,No,9,Month-to-month,Yes,Bank transfer,73.2,638.13,Yes
CUST-1180,2022-09-02,Male,0,Yes,16,One year,Yes,Credit card,69.07,1111.26,No
CUST-1181,2018-04-05,Male,0,Yes,69,Two year,No,Electronic check,47.8,3321.18,No
CUST-1182,2018-12-04,Female,0,No,61,Month-to-month,No,Electronic check,68.95,4157.47,No
CUST-1183,2023-03-03,Female,0,Yes,10,Month-to-month,Yes,Electronic check,109.48,,Yes
CUST-1184,2019-11-03,Male,0,No,50,One year,Yes,Mailed check,84.47,4251.47,No
CUST-1185,2023-10-02,Female,1,Yes,3,One year,Yes,Electronic check,33.05,86.7,Yes
CUST-1186,2018-03-05,Female,0,No,70,One year,Yes,Electronic check,61.88,4352.62,No
CUST-1187,2019-10-04,Female,0,Yes,51,Month-to-month,Yes,Credit card,42.46,2249.9,No
CUST-1188,2022-06-03,Female,0,No,19,Month-to-month,Yes,Credit card,54.14,,No
CUST-1189,2020-07-04,Male,1,Yes,42,Month-to-month,Yes,Electronic check,53.42,2255.44,No
CUST-1190,2021-02-01,Male,0,Yes,35,Two year,No,Mailed check,51.63,1784.91,No
CUST-1191,2020-03-04,Female,0,Yes,46,Month-to-month,No,Credit card,29.86,1379.0,No
CUST-1192,2021-11-02,Female,0,Yes,26,Month-to-month,No,Electronic check,61.43,1610.99,No
CUST-1193,2018-04-05,Female,0,Yes,69,Two year,Yes,Electronic check,49.3,3407.55,No
CUST-1194,2018-09-04,Male,0,Yes,64,Month-to-month,No,Electronic check,18.0,1121.41,No
CUST-1195,2020-12-03,Male,1,No,37,Two year,No,Bank transfer,122.48,4537.95,Yes
CUST-1196,2019-12-04,Female,1,Yes,49,One year,No,Electronic check,95.49,4722.88,No
CUST-1197,2022-04-03,Female,0,Yes,21,Two year,No,Credit card,54.46,,No
CUST-1198,2018-09-04,Female,0,No,64,Month-to-month,No,Mailed check,65.53,4222.78,No
CUST-1199,2023-08-02,Female,1,No,5,Month-to-month,Yes,Mailed check,32.19,,Yes
CUST-1200,2018-03-05,Female,0,Yes,70,One year,Yes,Electronic check,112.48,7896.1,No
CUST-1201,2023-09-02,Male,0,Yes,4,Two year,No,Mailed check,,480.86,Yes
CUST-1202,2020-10-03,Male,0,Yes,39,One year,No,Bank transfer,69.39,2677.68,No
CUST-1203,2021-02-01,Female,0,No,35,Month-to-month,No,Bank transfer,93.66,3287.66,Yes
CUST-1204,2023-12-02,Female,0,No,1,One year,Yes,Bank transfer,69.91,69.91,No
CUST-1205,2022-01-02,Male,0,Yes,24,One year,Yes,Bank transfer,27.57,642.69,No
CUST-1206,2019-04-05,Male,1,No,57,One year,Yes,Credit card,53.47,3053.47,No
CUST-1207,2018-03-05,Female,1,No,70,One year,No,Credit card,68.69,4817.22,No
CUST-1208,2020-08-03,Male,0,No,41,Two year,Yes,Bank transfer,52.27,2107.39,No
CUST-1209,2019-07-05,Male,0,No,54,One year,Yes,Electronic check,58.88,3211.14,No
CUST-1210,2020-03-04,Female,1,Yes,46,Month-to-month,Yes,Electronic check,62.44,2889.4,No
CUST-1211,2019-01-03,Female,1,Yes,60,Month-to-month,Yes,Electronic check,62.74,3743.26,No
CUST-1212,2019-01-03,Female,0,Yes,60,Month-to-month,No,Bank transfer,66.46,3941.47,No
CUST-1213,2019-04-05,Male,1,Yes,57,Month-to-month,No,Mailed check,35.3,2007.75,No
CUST-1214,2021-06-03,Female,1,No,31,Month-to-month,No,Mailed check,44.92,1379.14,No
CUST-1215,2022-01-02,Male,0,No,24,Month-to-month,Yes,Credit card,29.03,700.11,Yes
CUST-1216,2021-01-02,Male,0,Yes,36,Month-to-month,No,Credit card,92.38,3314.79,Yes
CUST-1217,2021-07-03,Female,0,Yes,30,Month-to-month,Yes,Credit card,18.0,479.78,Yes
CUST-1218,2022-01-02,Female,0,,24,Two year,No,Electronic check,97.3,2323.55,Yes
CUST-1219,2021-07-03,Female,0,No,30,Two year,Yes,Bank transfer,103.82,3105.43,No
CUST-1220,2023-06-03,Female,0,Yes,7,Month-to-month,Yes,Electronic check,56.54,414.79,Yes
CUST-1221,2021-02-01,Female,0,Yes,35,Two year,No,Electronic check,18.0,609.05,No
CUST-1222,2019-06-04,Male,0,Yes,55,Month-to-month,No,Electronic check,54.88,3068.76,Yes
CUST-1223,2022-11-02,Male,0,Yes,14,Month-to-month,Yes,Electronic check,63.2,827.45,Yes
CUST-1224,2023-03-03,Male,0,No,10,Month-to-month,No,Mailed check,36.7,406.34,Yes
CUST-1225,2022-09-02,Male,1,No,16,Month-to-month,Yes,Credit card,50.57,802.39,Yes
CUST-1226,2019-07-05,Prefer not to say,0,Yes,54,One year,Yes,Electronic check,107.85,5849.69,No
CUST-1227,2018-03-05,Male,0,No,70,One year,Yes,Bank transfer,83.62,5855.79,No
CUST-1228,2020-05-04,Female,0,No,44,Month-to-month,Yes,Mailed check,39.11,1755.03,No
CUST-1229,2020-04-03,Female,0,No,45,Month-to-month,Yes,Electronic check,20.27,900.53,No
CUST-1230,2019-05-05,Female,0,Yes,56,Month-to-month,Yes,Mailed check,55.84,3094.08,No
CUST-1231,2019-04-05,Female,0,Yes,57,Month-to-month,Yes,Electronic check,59.02,3406.76,No
CUST-1232,2022-04-03,Female,0,Yes,21,Month-to-month,No,Bank transfer,78.89,1653.29,Yes
CUST-1233,2018-05-05,Female,0,No,68,Month-to-month,Yes,Mailed check,50.01,3407.33,No
CUST-1234,2019-11-03,Male,0,Yes,50,Two year,No,Electronic check,79.32,4003.04,No
CUST-1235,2021-04-03,Female,0,Yes,33,Two year,Yes,Electronic check,119.18,3901.98,No
CUST-1236,2023-06-03,Male,1,Yes,7,Month-to-month,No,Mailed check,87.83,632.67,Yes
CUST-1237,2018-03-05,Male,0,No,70,Two year,Yes,Credit card,63.65,,No
CUST-1238,2022-10-02,Female,0,Yes,15,Month-to-month,Yes,Electronic check,59.87,894.08,Yes
CUST-1239,2021-05-04,Male,0,No,32,Month-to-month,Yes,Bank transfer,55.01,1762.49,No
CUST-1240,2022-05-03,Female,0,No,20,Month-to-month,Yes,Bank transfer,98.06,1916.19,Yes
CUST-1241,2022-10-02,Female,0,Yes,15,One year,Yes,Credit card,47.44,688.23,No
CUST-1242,2020-01-03,Female,0,No,48,Two year,No,Credit card,66.27,3221.49,No
CUST-1243,2018-02-03,Male,1,Yes,71,One year,No,Bank transfer,66.43,4743.12,No
CUST-1244,2022-04-03,Male,0,No,21,Month-to-month,No,Bank transfer,50.95,1068.07,Yes
CUST-1245,2020-07-04,Female,0,Yes,42,One year,No,Credit card,26.57,1123.23,No
CUST-1246,2021-11-02,Male,0,No,26,Month-to-month,Yes,Mailed check,74.04,1916.21,Yes
CUST-1247,2022-11-02,Prefer not to say,1,No,14,Two year,Yes,Electronic check,63.29,926.76,No
CUST-1248,2019-04-05,Prefer not to say,0,No,57,Month-to-month,Yes,Electronic check,79.01,,Yes
CUST-1249,2020-12-03,Female,0,No,37,Month-to-month,Yes,Credit card,50.06,1859.18,No
CUST-1250,2019-03-05,Male,0,Yes,58,One year,Yes,Credit card,99.18,,No
CUST-1251,2022-04-03,Male,0,,21,One year,Yes,Electronic check,40.45,826.13,No
CUST-1252,2018-04-05,Female,0,No,69,Month-to-month,Yes,Bank transfer,112.94,7839.62,Yes
CUST-1253,2023-10-02,Male,1,No,3,One year,Yes,Mailed check,18.0,18.0,No
CUST-1254,2020-12-03,Male,0,Yes,37,Month-to-month,No,Electronic check,77.17,2904.18,Yes
CUST-1255,2019-12-04,Female,0,No,49,One year,No,Credit card,78.31,3826.01,No
CUST-1256,2022-06-03,Female,0,No,19,Two year,Yes,Electronic check,42.72,804.4,Yes
CUST-1257,2023-01-02,Female,0,No,12,Two year,No,Electronic check,76.88,,Yes
CUST-1258,2018-12-04,Female,0,Yes,61,One year,No,Bank transfer,100.83,6136.99,No
CUST-1259,2020-08-03,Male,0,No,41,Month-to-month,Yes,Bank transfer,18.0,,No
CUST-1260,2021-04-03,Female,0,Yes,33,Month-to-month,Yes,Electronic check,79.08,2591.41,Yes
CUST-1261,2019-11-03,Prefer not to say,0,,50,One year,Yes,Bank transfer,18.0,895.88,No
CUST-1262,2018-05-05,Male,0,Yes,68,Month-to-month,No,Mailed check,37.96,2610.01,No
CUST-1263,2018-02-03,Female,0,No,71,Month-to-month,No,Electronic check,110.62,7860.25,Yes
CUST-1264,2021-04-03,Female,0,No,33,Month-to-month,Yes,Electronic check,48.71,1616.66,No
CUST-1265,2022-01-02,Female,0,Yes,24,Month-to-month,Yes,Bank transfer,32.13,738.25,No
CUST-1266,2018-12-04,Female,0,No,61,One year,Yes,Electronic check,59.46,3600.64,No
CUST-1267,2018-12-04,Female,0,Yes,61,Month-to-month,Yes,Credit card,122.9,,Yes
CUST-1268,2021-09-02,Male,1,No,28,One year,Yes,Credit card,18.0,,No
CUST-1269,2019-03-05,Male,1,No,58,Month-to-month,No,Credit card,35.56,2112.17,No
CUST-1270,2020-06-03,Female,0,No,43,Month-to-month,No,Electronic check,106.93,4590.7,No
CUST-1271,2020-08-03,Female,0,No,41,Month-to-month,No,Credit card,117.02,4797.89,Yes
CUST-1272,2020-10-03,Female,0,No,39,Month-to-month,No,Mailed check,62.1,2454.01,No
CUST-1273,2019-12-04,Female,0,Yes,49,Month-to-month,No,Electronic check,,1523.35,No
CUST-1274,2022-08-03,Female,0,Yes,17,One year,Yes,Electronic check,123.68,2099.24,Yes
CUST-1275,2018-03-05,Female,0,No,70,Month-to-month,No,Electronic check,109.64,7663.15,Yes
CUST-1276,2018-03-05,Female,0,No,70,Two year,Yes,Bank transfer,84.01,5879.02,No
